Supercharger,Street Address,City,State,city_state,Zip,Country,Stalls,GPS,Elev,Status,Open Date,Tesla,Thread
"Denton, TX",2710 W University Dr,Denton,TX,Denton_TX,76201,USA,6.0,"33.231403, -97.166419",212,Open,11/4/2015,http://www.teslamotors.com/findus/location/supercharger/dentonsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=423
"South Burlington, VT",222 Dorset St,South Burlington,VT,SouthBurlington_VT,5403,USA,8.0,"44.463327, -73.180184",94,Open,11/4/2015,http://www.teslamotors.com/findus/location/supercharger/southburlingtonsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=628
"Binghamton, NY",1062 Front St,Binghamton,NY,Binghamton_NY,13905,USA,8.0,"42.145553, -75.901755",262,Open,11/1/2015,http://www.teslamotors.com/findus/location/supercharger/binghamtonsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=717
"Twin Falls, ID","Twin Falls Tourist Center, 2015 Nielsen Point Place",Twin Falls,ID,TwinFalls_ID,83301,USA,8.0,"42.598103, -114.456183","1,101",Open,10/28/2015,http://www.teslamotors.com/findus/location/supercharger/twinfallssupercharger,http://supercharge.info/service/supercharge/discuss?siteId=691
"Truckee-Brockway Rd, CA",The Rock 11209 Brockway Rd,Truckee,CA,Truckee_CA,96161,USA,8.0,"39.321865, -120.1621","1,801",Open,10/23/2015,http://www.teslamotors.com/findus/location/supercharger/truckeebrockwayroadsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=715
"Gardnerville, NV","Topaz Lodge, 1979 US-395",Gardnerville,NV,Gardnerville_NV,89410,USA,6.0,"38.695341, -119.547596","1,579",Open,10/22/2015,http://www.teslamotors.com/findus/location/supercharger/gardnervillesupercharger,http://supercharge.info/service/supercharge/discuss?siteId=700
"Hinckley, MN",404 Fire Monument Rd,Hinckley,MN,Hinckley_MN,55037,USA,8.0,"46.009592, -92.93155",313,Open,10/21/2015,http://www.teslamotors.com/findus/location/supercharger/hinckleysupercharger,http://supercharge.info/service/supercharge/discuss?siteId=713
"Baxter, MN",6967 Lake Forest Rd,Baxter,MN,Baxter_MN,56425,USA,8.0,"46.378868, -94.256413",369,Open,10/21/2015,http://www.teslamotors.com/findus/location/supercharger/baxtersupercharger,http://supercharge.info/service/supercharge/discuss?siteId=714
"Norfolk, VA",5900 E Virginia Beach Blvd,Norfolk,VA,Norfolk_VA,0,USA,6.0,"36.858614, -76.206015",4,Open,10/18/2015,http://www.teslamotors.com/findus/location/supercharger/norfolksupercharger,http://supercharge.info/service/supercharge/discuss?siteId=611
"Dublin, CA",6701 Amador Plaza Rd,Dublin,CA,Dublin_CA,94568,USA,10.0,"37.702359, -121.92593",103,Open,10/17/2015,http://www.teslamotors.com/findus/location/supercharger/dublinamador,http://supercharge.info/service/supercharge/discuss?siteId=624
"Price, UT",925 West Westwood Blvd,Price,UT,Price_UT,84501,USA,8.0,"39.601655, -110.83131","1,207",Open,10/16/2015,http://www.teslamotors.com/findus/location/supercharger/pricesupercharger,http://supercharge.info/service/supercharge/discuss?siteId=650
"Seabrook, NH",700 Lafayette Rd,Seabrook,NH,Seabrook_NH,3874,USA,8.0,"42.895182, -70.869351",16,Open,10/9/2015,http://www.teslamotors.com/findus/location/supercharger/seabrooksupercharger,http://supercharge.info/service/supercharge/discuss?siteId=616
"Sheboygan, WI","595 Taylor Dr, by Festival Foods",Sheboygan,WI,Sheboygan_WI,53081,USA,8.0,"43.749912, -87.747073",200,Open,10/7/2015,http://www.teslamotors.com/findus/location/supercharger/sheboygansupercharger,http://supercharge.info/service/supercharge/discuss?siteId=620
"Gillette, WY","Hampton Inn, 211 Decker Ct",Gillette,WY,Gillette_WY,82718,USA,4.0,"44.29301, -105.526628","1,400",Open,9/24/2015,http://www.teslamotors.com/findus/location/supercharger/gillettesupercharger,http://supercharge.info/service/supercharge/discuss?siteId=697
"Tallahassee, FL",1400 Village Square Blvd,Tallahassee,FL,Tallahassee_FL,32309,USA,6.0,"30.510935, -84.247838",63,Open,9/23/2015,http://www.teslamotors.com/findus/location/supercharger/tallahasseesupercharger,http://supercharge.info/service/supercharge/discuss?siteId=696
"Tinton Falls, NJ",1 Premium Outlets Blvd,Tinton Falls,NJ,TintonFalls_NJ,7753,USA,8.0,"40.226272, -74.093538",33,Open,9/19/2015,http://www.teslamotors.com/findus/location/supercharger/tintonfallssupercharger,http://supercharge.info/service/supercharge/discuss?siteId=666
"Las Vegas, NM",2500 N Grand Ave,Las Vegas,NM,LasVegas_NM,87701,USA,6.0,"35.621267, -105.204598","1,970",Open,9/14/2015,http://www.teslamotors.com/findus/location/supercharger/lasvegasnmsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=578
"Columbia, MO",915 Port Way,Columbia,MO,Columbia_MO,65201,USA,8.0,"38.958728, -92.252464",254,Open,9/11/2015,http://www.teslamotors.com/findus/location/supercharger/columbiasupercharger,http://supercharge.info/service/supercharge/discuss?siteId=657
Albuquerque NM,2600 Menaul Blvd NE,Albuquerque,NM,Albuquerque_NM,87107,USA,6.0,"35.108962, -106.612794","1,558",Open,9/4/2015,http://www.teslamotors.com/findus/location/supercharger/albuquerquesupercharger,http://supercharge.info/service/supercharge/discuss?siteId=571
"Kennewick, WA",2811 W 10th Ave,Kennewick,WA,Kennewick_WA,99336,USA,8.0,"46.198085, -119.162734",167,Open,9/4/2015,http://www.teslamotors.com/findus/location/supercharger/kennewicksupercharger,http://supercharge.info/service/supercharge/discuss?siteId=670
"Strasburg, VA",119 Hite Ln,Strasburg,VA,Strasburg_VA,22657,USA,6.0,"39.00496, -78.337836",204,Open,9/2/2015,http://www.teslamotors.com/findus/location/supercharger/strasburgsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=632
"Fountain Valley, CA",17900 Newhope St,Fountain Valley,CA,FountainValley_CA,92708,USA,8.0,"33.70278, -117.934127",11,Open,8/28/2015,http://www.teslamotors.com/findus/location/supercharger/fountainvalleysupercharger,http://supercharge.info/service/supercharge/discuss?siteId=653
"Ann Arbor, MI",3145 Saline Road,Ann Arbor,MI,AnnArbor_MI,48108,USA,8.0,"42.240687, -83.766265",282,Open,8/20/2015,http://www.teslamotors.com/findus/location/supercharger/annarborsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=605
"Seaside, CA",1901 Del Monte Blvd,Seaside,CA,Seaside_CA,93955,USA,6.0,"36.616759, -121.844014",10,Open,8/13/2015,http://www.teslamotors.com/findus/location/supercharger/montereyseaside,http://supercharge.info/service/supercharge/discuss?siteId=633
"Dedham, MA",840 Providence Highway,Dedham,MA,Dedham_MA,0,USA,8.0,"42.236034, -71.178634",29,Open,8/8/2015,http://www.teslamotors.com/findus/location/supercharger/dedham,http://supercharge.info/service/supercharge/discuss?siteId=514
"Boise, ID",1426 S Entertainment Ave,Boise,ID,Boise_ID,83709,USA,8.0,"43.591886, -116.279015",838,Open,8/7/2015,http://www.teslamotors.com/findus/location/supercharger/boisesupercharger,http://supercharge.info/service/supercharge/discuss?siteId=627
"Oklahoma City, OK",7624 West Reno Ave #380,Oklahoma City,OK,OklahomaCity_OK,0,USA,8.0,"35.461704, -97.651445",372,Open,7/31/2015,http://www.teslamotors.com/findus/location/supercharger/oklahomacitysupercharger,http://supercharge.info/service/supercharge/discuss?siteId=587
"Trinidad, CO",9960 Santa Fe Trail,Trinidad,CO,Trinidad_CO,81082,USA,6.0,"37.134228, -104.519962","1,933",Open,7/30/2015,http://www.teslamotors.com/findus/location/supercharger/trinidadsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=561
"West Lebanon, NH",285 N Plainfield Rd #1,West Lebanon,NH,WestLebanon_NH,3784,USA,8.0,"43.624616, -72.324692",104,Open,7/17/2015,http://www.teslamotors.com/findus/location/supercharger/westlebanonsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=589
"Duluth, MN",200 W 1st St,Duluth,MN,Duluth_MN,55802,USA,4.0,"46.784467, -92.10232",200,Open,7/17/2015,http://www.teslamotors.com/findus/location/supercharger/duluthsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=645
"Sheridan, WY",612 North Main St,Sheridan,WY,Sheridan_WY,82801,USA,4.0,"44.804565, -106.956363","1,136",Open,7/15/2015,http://www.teslamotors.com/findus/location/supercharger/sheridansupercharger,http://supercharge.info/service/supercharge/discuss?siteId=610
"San Mateo, CA",1200 Park Pl,San Mateo,CA,SanMateo_CA,94403,USA,8.0,"37.544632, -122.290188",3,Open,7/10/2015,http://www.teslamotors.com/findus/location/supercharger/sanmateosupercharger,http://supercharge.info/service/supercharge/discuss?siteId=619
"Houston, TX",14820 North Freeway,Houston,TX,Houston_TX,77090,USA,6.0,"29.980741, -95.421697",31,Open,7/9/2015,http://www.teslamotors.com/findus/location/supercharger/northhouston,http://supercharge.info/service/supercharge/discuss?siteId=644
"Cranbury, NJ",Molly Pitcher Service Area,Cranbury,NJ,Cranbury_NJ,8512,USA,4.0,"40.321021, -74.488254",36,Open,7/9/2015,http://www.teslamotors.com/findus/location/supercharger/cranburysupercharger,http://supercharge.info/service/supercharge/discuss?siteId=574
"Nashville, TN",1641 Westgate Circle,Brentwood,TN,Brentwood_TN,37027,USA,6.0,"35.969209, -86.804641",226,Open,7/8/2015,http://www.teslamotors.com/findus/location/supercharger/brentwood,http://supercharge.info/service/supercharge/discuss?siteId=625
"Grand Rapids, MI",5531 28th St SE,Grand Rapids,MI,GrandRapids_MI,49512,USA,8.0,"42.915523, -85.533929",227,Open,6/25/2015,http://www.teslamotors.com/findus/location/supercharger/grandrapidssupercharger,http://supercharge.info/service/supercharge/discuss?siteId=613
"Baker City, OR",1 Sunridge Ln,Baker City,OR,BakerCity_OR,97814,USA,8.0,"44.782849, -117.812422","1,044",Open,6/25/2015,http://www.teslamotors.com/findus/location/supercharger/bakercitysupercharger,http://supercharge.info/service/supercharge/discuss?siteId=618
"Newburgh, NY",1217 Route 300,Newburgh,NY,Newburgh_NY,12550,USA,6.0,"41.499775, -74.071261",104,Open,6/23/2015,http://www.teslamotors.com/findus/location/supercharger/newburghsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=592
"East Brunswick, NJ","Joyce Kilmer Service Area, New Jersey Turnpike",East Brunswick,NJ,EastBrunswick_NJ,8816,USA,4.0,"40.41701, -74.444085",37,Open,6/19/2015,http://www.teslamotors.com/findus/location/supercharger/eastbrunswicksupercharger,http://supercharge.info/service/supercharge/discuss?siteId=573
"Buffalo, NY",4455 Transit Road,Buffalo,NY,Buffalo_NY,14221,USA,8.0,"42.968673, -78.696128",213,Open,6/11/2015,http://www.teslamotors.com/findus/location/supercharger/buffalosupercharger,http://supercharge.info/service/supercharge/discuss?siteId=415
"Mountain View, CA",1401 N Shoreline Blvd,Mountain View,CA,MountainView_CA,94043,USA,12.0,"37.415344, -122.076607",6,Open,6/10/2015,http://www.teslamotors.com/findus/location/supercharger/mountainviewsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=621
"San Diego, CA",10105 Pacific Heights Blvd,San Diego,CA,SanDiego_CA,92121,USA,12.0,"32.902137, -117.193489",88,Open,6/8/2015,http://www.teslamotors.com/findus/location/supercharger/sandiegosupercharger,http://supercharge.info/service/supercharge/discuss?siteId=479
"Cincinnati, OH","9111 Blue Ash, Rd.",Cincinnati,OH,Cincinnati_OH,45242,USA,8.0,"39.224429, -84.383415",258,Open,6/5/2015,http://www.teslamotors.com/findus/location/supercharger/cincinnati,http://supercharge.info/service/supercharge/discuss?siteId=606
"Pendleton, OR",46510 Wildhorse Blvd,Pendleton,OR,Pendleton_OR,97801,USA,8.0,"45.648679, -118.678968",437,Open,5/28/2015,http://www.teslamotors.com/findus/location/supercharger/pendletonsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=608
"Knoxville, TN",11038 Parkside Dr,Knoxville,TN,Knoxville_TN,37934,USA,8.0,"35.90229, -84.150775",286,Open,5/27/2015,http://www.teslamotors.com/findus/location/supercharger/knoxvillesupercharger,http://supercharge.info/service/supercharge/discuss?siteId=614
"Cleveland, Tesla Service Center",5180 Mayfield Road,Lyndhurst,OH,Lyndhurst_OH,44124,USA,1.0,"41.519027, -81.493345",314,Open,5/9/2015,http://www.teslamotors.com/findus/location/supercharger/cleveland,http://supercharge.info/service/supercharge/discuss?siteId=617
"Marathon, FL",9400 Overseas Highway,Marathon,FL,Marathon_FL,33050,USA,4.0,"24.725172, -81.051135",1,Open,5/2/2015,http://www.teslamotors.com/findus/location/supercharger/marathonsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=450
"Tucumcari, NM",2624 South Adams St,Tucumcari,NM,Tucumcari_NM,88401,USA,6.0,"35.153963, -103.722539","1,253",Open,4/21/2015,http://www.teslamotors.com/findus/location/supercharger/tucumcarinmsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=546
"Mobile, AL",3201 Airport Blvd,Mobile,AL,Mobile_AL,36606,USA,8.0,"30.675347, -88.11901",6,Open,4/16/2015,http://www.teslamotors.com/findus/location/supercharger/mobilealsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=541
"Syracuse, NY","439 Electronics Parkway,",Liverpool,NY,Liverpool_NY,13088,USA,8.0,"43.102516, -76.187475",123,Open,4/16/2015,http://www.teslamotors.com/findus/location/supercharger/syracusesupercharger,http://supercharge.info/service/supercharge/discuss?siteId=547
"Perry, OK",2812 Fir St,Perry,OK,Perry_OK,73077,USA,6.0,"36.289315, -97.325935",330,Open,4/15/2015,http://www.teslamotors.com/findus/location/supercharger/perryoksupercharger,http://supercharge.info/service/supercharge/discuss?siteId=483
"St. Charles, MO",2021 Zumbehl Rd,St. Charles,MO,St.Charles_MO,63303,USA,5.0,"38.782139, -90.532862",149,Open,4/15/2015,http://www.teslamotors.com/findus/location/supercharger/stcharlesmosupercharger,http://supercharge.info/service/supercharge/discuss?siteId=530
"Drummondville, QC",Les Promenades Drummondville 755 boul. Rene-Levesque,Drummondville,QC,Drummondville_QC,J2C 6Y7,Canada,8.0,"45.899084, -72.51942",84,Open,4/8/2015,http://www.teslamotors.com/findus/location/supercharger/drummondvilleqcsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=264
"Tremonton, UT",Hampton Inn 2145 W Main St,Tremonton,UT,Tremonton_UT,84337,USA,6.0,"41.70995, -112.198576","1,317",Open,4/1/2015,http://www.teslamotors.com/findus/location/supercharger/tremontonsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=586
"Effingham, IL",1200 North Keller Dr,Effingham,IL,Effingham_IL,62401,USA,6.0,"39.137048, -88.563736",184,Open,3/28/2015,http://www.teslamotors.com/findus/location/supercharger/effinghamilsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=566
"Mojave, CA",Anthony's Grill 16940 California 14 Hwy 14,Mojave,CA,Mojave_CA,93501,USA,6.0,"35.068595, -118.174576",866,Open,3/27/2015,http://www.teslamotors.com/findus/location/supercharger/mojavesupercharger,http://supercharge.info/service/supercharge/discuss?siteId=512
"Comber, ON",7018 Industrial Dr,Comber,ON,Comber_ON,N0P 1J0,Canada,8.0,"42.238789, -82.550873",182,Open,3/25/2015,http://www.teslamotors.com/findus/location/supercharger/comberonsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=441
"Riviera Beach, FL",4651 Dyer Blvd,Riviera Beach,FL,RivieraBeach_FL,33407,USA,8.0,"26.778172, -80.112944",4,Open,3/21/2015,http://www.teslamotors.com/findus/location/supercharger/westpalmbeach,http://supercharge.info/service/supercharge/discuss?siteId=553
"Inyokern, CA",1353 Brown Rd,Inyokern,CA,Inyokern_CA,93527,USA,4.0,"35.646461, -117.812629",742,Open,3/20/2015,http://www.teslamotors.com/findus/location/supercharger/inyokernsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=513
"Santa Rosa, NM",2516 Historic Rt 66,Santa Rosa,NM,SantaRosa_NM,88435,USA,6.0,"34.947013, -104.647997","1,440",Open,3/13/2015,http://www.teslamotors.com/findus/location/supercharger/santarosanmsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=570
"Ardmore, OK",322 Holiday Dr,Ardmore,OK,Ardmore_OK,73401,USA,6.0,"34.179106, -97.165632",259,Open,3/13/2015,http://www.teslamotors.com/findus/location/supercharger/ardmoreoksupercharger,http://supercharge.info/service/supercharge/discuss?siteId=548
"Council Bluffs, IA",3815 Metro Dr,Council Bluffs,IA,CouncilBluffs_IA,51501,USA,8.0,"41.220005, -95.836123",301,Open,3/11/2015,http://www.teslamotors.com/findus/location/supercharger/councilbluffsiasupercharger,http://supercharge.info/service/supercharge/discuss?siteId=569
"Canmore, AB",1719 Bow Valley Trail,Canmore,AB,Canmore_AB,T1W 1L7,Canada,4.0,"51.100208, -115.359179","1,320",Open,3/11/2015,http://www.teslamotors.com/findus/location/supercharger/canmoreabsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=351
"Weatherford, OK",1301 N Airport Rd by Lucille's Roadhouse,Weatherford,OK,Weatherford_OK,73096,USA,6.0,"35.53859, -98.66012",485,Open,3/11/2015,http://www.teslamotors.com/findus/location/supercharger/weatherfordoksupercharger,http://supercharge.info/service/supercharge/discuss?siteId=565
"Salt Lake City, UT",2312 S State St,Salt Lake City,UT,SaltLakeCity_UT,84115,USA,10.0,"40.7209, -111.888395","1,297",Open,3/6/2015,http://www.teslamotors.com/findus/location/supercharger/saltlakecitysstatestreet,http://supercharge.info/service/supercharge/discuss?siteId=562
"Coeur d'Alene, ID",3458 N Fruitland Ln,Coeur d'Alene,ID,Coeurd'Alene_ID,83815,USA,6.0,"47.708479, -116.794283",685,Open,3/4/2015,http://www.teslamotors.com/findus/location/supercharger/coeurdaleneidsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=516
"Charlotte, NC",2720 Mallard Creek Church RD,Charlotte,NC,Charlotte_NC,28262,USA,8.0,"35.341213, -80.766023",232,Open,2/25/2015,http://www.teslamotors.com/findus/location/supercharger/charlottencsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=378
"Tooele, UT",1568 East Saddleback Blvd,Tooele,UT,Tooele_UT,84074,USA,6.0,"40.684486, -112.268818","1,290",Open,2/25/2015,http://www.teslamotors.com/findus/location/supercharger/tooeleutsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=480
"Shamrock, TX",107 East 12th St,Shamrock,TX,Shamrock_TX,79079,USA,6.0,"35.226765, -100.24836",704,Open,2/20/2015,http://www.teslamotors.com/findus/location/supercharger/shamrocksupercharger,http://supercharge.info/service/supercharge/discuss?siteId=552
"Rocklin (SC), CA",4361 Granite Drive,Rocklin,CA,Rocklin_CA,95677,USA,8.0,"38.800537, -121.210485",98,Open,2/20/2015,http://www.teslamotors.com/findus/location/supercharger/rocklin,http://supercharge.info/service/supercharge/discuss?siteId=485
"Winnemucca, NV",1985 W. Winnemucca Blvd,Winnemucca,NV,Winnemucca_NV,89445,USA,4.0,"40.958847, -117.746497","1,308",Open,2/18/2015,http://www.teslamotors.com/findus/location/supercharger/winnemuccanvsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=531
"Independence, MO",18001 Bass Pro Drive,Independence,MO,Independence_MO,64055,USA,6.0,"39.040814, -94.369265",245,Open,2/17/2015,http://www.teslamotors.com/findus/location/supercharger/independencemosupercharger,http://supercharge.info/service/supercharge/discuss?siteId=560
"West Springfield, MA",935 Riverdale St,West Springfield,MA,WestSpringfield_MA,1089,USA,8.0,"42.130914, -72.621435",17,Open,2/14/2015,http://www.teslamotors.com/findus/location/supercharger/westspringfieldsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=361
"Manteca, CA",960 Perimeter Dr,Manteca,CA,Manteca_CA,95337,USA,8.0,"37.782622, -121.228683",9,Open,2/12/2015,http://www.teslamotors.com/findus/location/supercharger/mantecasupercharger,http://supercharge.info/service/supercharge/discuss?siteId=462
"Utica, NY",50 Auert Ave,Utica,NY,Utica_NY,13501,USA,8.0,"43.113878, -75.206857",128,Open,2/11/2015,http://www.teslamotors.com/findus/location/supercharger/uticanysupercharger,http://supercharge.info/service/supercharge/discuss?siteId=545
"Golden, BC",1200 - 12th Street,Golden,BC,Golden_BC,V0A 1H0,Canada,4.0,"51.31325, -116.974152",802,Open,2/4/2015,http://www.teslamotors.com/findus/location/supercharger/goldenbcsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=430
"London, KY",140 Faith Assembly Church Rd,London,KY,London_KY,40741,USA,6.0,"37.14916, -84.11385",361,Open,2/4/2015,http://www.teslamotors.com/findus/location/supercharger/londonkysupercharger,http://supercharge.info/service/supercharge/discuss?siteId=529
"Elko, NV",2755 Mountain City Hwy,Elko,NV,Elko_NV,89801,USA,6.0,"40.836301, -115.790859","1,574",Open,2/3/2015,http://www.teslamotors.com/findus/location/supercharger/elkonvsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=520
"Petaluma, CA",401 Kenilworth Dr #1030,Petaluma,CA,Petaluma_CA,94952,USA,10.0,"38.242693, -122.625049",8,Open,2/3/2015,http://www.teslamotors.com/findus/location/supercharger/petalumacasupercharger,http://supercharge.info/service/supercharge/discuss?siteId=419
