connectivity,efficiency,label
3.82E+00,4.70E-04,1.00E+00
4.49E+00,4.60E-04,1.00E+00
5.25E+00,4.60E-04,1.00E+00
3.54E+00,4.54E-04,1.00E+00
4.00E+00,4.52E-04,0.00E+00
4.53E+00,4.52E-04,0.00E+00
3.03E+00,4.52E-04,1.00E+00
3.44E+00,4.48E-04,0.00E+00
3.72E+00,4.46E-04,0.00E+00
3.73E+00,4.43E-04,0.00E+00
3.69E+00,4.43E-04,0.00E+00
3.92E+00,4.43E-04,1.00E+00
3.57E+00,4.38E-04,1.00E+00
2.40E+00,4.37E-04,0.00E+00
2.38E+00,4.37E-04,0.00E+00
2.34E+00,4.37E-04,0.00E+00
2.34E+00,4.35E-04,0.00E+00
2.36E+00,4.33E-04,0.00E+00
3.56E+00,4.33E-04,0.00E+00
4.19E+00,4.31E-04,0.00E+00
2.36E+00,4.27E-04,0.00E+00
2.36E+00,4.27E-04,0.00E+00
3.13E+00,4.27E-04,0.00E+00
3.12E+00,4.27E-04,0.00E+00
3.05E+00,4.27E-04,0.00E+00
3.19E+00,4.26E-04,1.00E+00
3.77E+00,4.20E-04,1.00E+00
2.62E+00,4.19E-04,0.00E+00
2.60E+00,4.19E-04,0.00E+00
3.31E+00,4.18E-04,0.00E+00
4.83E+00,4.15E-04,1.00E+00
2.79E+00,4.14E-04,0.00E+00
2.78E+00,4.13E-04,0.00E+00
2.67E+00,4.11E-04,1.00E+00
2.73E+00,4.06E-04,0.00E+00
2.67E+00,4.06E-04,0.00E+00
2.67E+00,4.06E-04,0.00E+00
2.78E+00,4.06E-04,0.00E+00
3.66E+00,4.06E-04,0.00E+00
2.81E+00,4.05E-04,0.00E+00
2.73E+00,4.05E-04,0.00E+00
3.68E+00,4.05E-04,0.00E+00
3.08E+00,4.04E-04,0.00E+00
3.71E+00,4.02E-04,0.00E+00
3.61E+00,4.02E-04,0.00E+00
3.61E+00,3.99E-04,0.00E+00
3.56E+00,3.97E-04,0.00E+00
4.49E+00,3.90E-04,0.00E+00
3.46E+00,3.87E-04,0.00E+00
3.65E+00,3.84E-04,0.00E+00
3.55E+00,3.82E-04,0.00E+00
2.69E+00,3.81E-04,0.00E+00
3.60E+00,3.81E-04,0.00E+00
4.25E+00,3.81E-04,0.00E+00
3.68E+00,3.73E-04,0.00E+00
3.35E+00,3.72E-04,0.00E+00
3.37E+00,3.72E-04,0.00E+00
3.36E+00,3.72E-04,0.00E+00
3.50E+00,3.72E-04,0.00E+00
3.79E+00,3.59E-04,0.00E+00
4.45E+00,3.58E-04,1.00E+00
2.68E+00,3.57E-04,0.00E+00
3.14E+00,3.57E-04,0.00E+00
3.85E+00,3.57E-04,0.00E+00
3.22E+00,3.56E-04,0.00E+00
3.22E+00,3.56E-04,0.00E+00
3.98E+00,3.50E-04,0.00E+00
4.00E+00,3.44E-04,1.00E+00
3.61E+00,3.37E-04,0.00E+00
3.55E+00,3.34E-04,0.00E+00
3.95E+00,3.30E-04,0.00E+00
2.69E+00,3.26E-04,0.00E+00
2.68E+00,3.26E-04,0.00E+00
3.58E+00,3.22E-04,0.00E+00
3.71E+00,3.17E-04,0.00E+00
3.29E+00,2.85E-04,0.00E+00
3.05E+00,2.84E-04,0.00E+00
3.61E+00,2.84E-04,0.00E+00
3.09E+00,2.84E-04,0.00E+00
3.81E+00,2.78E-04,1.00E+00
3.09E+00,2.77E-04,0.00E+00
2.77E+00,2.77E-04,0.00E+00
3.40E+00,2.77E-04,0.00E+00
2.80E+00,2.77E-04,0.00E+00
3.10E+00,2.77E-04,0.00E+00
2.79E+00,2.77E-04,0.00E+00
2.77E+00,2.77E-04,0.00E+00
3.34E+00,2.77E-04,0.00E+00
3.71E+00,2.77E-04,1.00E+00
2.66E+00,2.68E-04,0.00E+00
2.65E+00,2.68E-04,0.00E+00
2.65E+00,2.68E-04,0.00E+00
2.66E+00,2.68E-04,0.00E+00
3.81E+00,2.68E-04,0.00E+00
2.66E+00,2.68E-04,0.00E+00
2.65E+00,2.68E-04,0.00E+00
2.64E+00,2.68E-04,0.00E+00
2.65E+00,2.68E-04,0.00E+00
3.90E+00,2.68E-04,0.00E+00
2.81E+00,2.67E-04,0.00E+00
3.76E+00,2.67E-04,0.00E+00
3.81E+00,2.54E-04,1.00E+00
3.46E+00,2.44E-04,0.00E+00
2.67E+00,2.43E-04,1.00E+00
3.54E+00,2.41E-04,0.00E+00
3.18E+00,2.36E-04,0.00E+00
3.35E+00,2.36E-04,0.00E+00
3.78E+00,2.36E-04,1.00E+00
3.67E+00,2.30E-04,0.00E+00
3.43E+00,2.30E-04,0.00E+00
3.54E+00,2.30E-04,0.00E+00
3.33E+00,2.30E-04,0.00E+00
3.13E+00,2.18E-04,1.00E+00
4.17E+00,2.16E-04,1.00E+00
4.17E+00,1.78E-04,0.00E+00
4.13E+00,1.78E-04,0.00E+00
4.25E+00,1.77E-04,0.00E+00
3.30E+00,1.60E-04,0.00E+00
3.64E+00,1.41E-04,1.00E+00
3.62E+00,1.33E-04,0.00E+00
3.13E+00,1.25E-04,0.00E+00
3.09E+00,1.25E-04,0.00E+00
4.09E+00,1.21E-04,0.00E+00
